rotation_speed,vibration,temperature,pressure,flow_rate,voltage,current,is_normal
10926.0,2.06,75.08,550.06,69.98,379.9,10.01,True
10857.0,1.9,74.99,549.91,69.92,380.01,9.96,True
10371.0,1.96,75.08,550.09,70.01,380.06,10.09,True
10058.0,1.94,75.04,550.03,69.91,379.96,9.99,True
9360.0,1.95,74.93,550.0,69.93,380.09,9.94,True
10956.0,2.09,75.09,550.04,70.07,379.95,9.91,True
9550.0,2.03,74.91,549.9,70.01,380.03,9.92,True
9915.0,2.09,75.06,549.91,70.04,380.07,10.06,True
9203.0,1.99,75.02,549.92,69.97,380.08,10.03,True
10690.0,2.02,75.09,549.95,70.02,380.09,10.08,True
10972.0,2.03,74.9,549.91,70.0,380.01,9.97,True
10659.0,1.93,74.99,549.9,70.02,380.03,9.98,True
9315.0,1.92,75.06,550.0,69.94,379.9,9.91,True
10043.0,2.01,75.0,550.01,70.07,379.94,10.08,True
10171.0,1.99,75.08,550.06,69.97,380.06,9.97,True
9875.0,2.09,75.04,550.04,70.03,380.07,10.09,True
10919.0,2.01,74.99,550.0,69.91,379.93,10.0,True
9744.0,2.04,75.07,550.02,70.03,379.96,10.05,True
9660.0,2.08,75.07,550.06,70.07,379.9,9.91,True
3253.0,1.12,74.99,549.91,69.96000000000001,379.87,9.97,False
10611.0,1.99,75.02,550.06,69.9,380.01,10.01,True
18890.0,2.99,75.03999999999999,550.13,70.03,380.0,10.06,False
9701.0,1.93,74.99,549.97,69.9,380.09,10.08,True
9842.0,1.97,75.08,549.99,69.96,380.04,9.98,True
10419.0,2.0,74.96,550.02,69.99,380.02,9.92,True
10695.0,2.07,74.92,550.01,69.96,380.03,9.93,True
9516.0,2.06,74.94,550.03,70.04,380.08,9.9,True
9904.0,1.98,75.03,549.9,70.01,379.96,10.08,True
10821.0,1.92,75.01,550.04,70.03,379.99,9.9,True
9451.0,2.09,75.01,549.99,69.9,380.05,10.01,True
17552.0,2.19,74.97,550.0899999999999,70.05999999999999,380.14,9.97,False
18458.0,3.0,74.97999999999999,550.0899999999999,70.13,380.03,10.15,False
10275.0,1.95,75.05,550.08,69.9,380.02,9.93,True
9496.0,2.06,74.97,550.08,69.9,379.91,9.94,True
10008.0,2.06,75.05,549.97,69.92,379.93,9.94,True
10532.0,1.9,74.92,550.09,69.96,379.93,9.95,True
9057.0,2.03,74.94,549.98,70.08,379.99,9.94,True
10979.0,2.02,74.94,549.95,70.08,380.08,10.02,True
9403.0,1.95,74.98,549.9,70.0,380.01,10.05,True
10949.0,1.97,75.09,550.07,70.05,380.01,9.97,True
10383.0,1.95,75.0,549.96,70.03,380.09,10.09,True
10625.0,2.05,74.99,550.02,70.0,380.01,9.99,True
10095.0,1.96,75.07,550.05,70.04,380.08,9.93,True
10782.0,1.96,74.9,550.03,70.04,379.92,9.95,True
9535.0,2.04,74.91,550.08,70.03,380.03,9.96,True
9223.0,2.06,74.97,549.94,69.96,379.97,10.0,True
9722.0,2.06,74.95,549.95,69.95,380.05,10.0,True
10876.0,2.06,74.99,550.08,69.93,379.96,9.97,True
10783.0,2.06,75.08,550.06,69.99,379.9,9.93,True
9086.0,1.95,74.99,550.04,69.91,379.96,9.95,True
10606.0,1.95,75.0,550.01,70.02,380.01,9.95,True
9881.0,2.04,74.93,549.99,70.08,380.02,9.99,True
10041.0,1.97,74.96,550.06,70.02,380.08,9.99,True
10455.0,1.9,74.93,549.99,69.99,380.06,9.95,True
10947.0,1.96,74.99,550.08,70.04,380.08,9.9,True
10455.0,2.0,75.09,549.97,70.08,379.95,10.07,True
10325.0,1.96,75.02,549.92,69.98,379.96,10.04,True
10152.0,1.91,74.9,549.91,70.08,379.97,9.97,True
9962.0,2.04,74.93,550.01,69.94,379.9,9.9,True
10711.0,1.9,75.0,550.0,69.94,379.91,10.01,True
10957.0,1.91,74.9,549.94,69.95,380.07,9.93,True
10744.0,2.07,75.03,549.92,69.95,379.99,10.08,True
10654.0,2.03,74.9,549.9,70.08,380.08,9.97,True
9173.0,2.05,74.99,550.0,70.04,379.96,9.96,True
9786.0,1.97,75.0,549.93,69.94,379.99,10.09,True
10364.0,2.06,75.02,549.9,69.93,379.98,9.94,True
10045.0,1.92,75.06,549.97,69.95,380.06,10.03,True
9861.0,2.03,75.01,550.09,70.08,379.92,9.96,True
9097.0,1.95,74.98,549.95,69.97,380.08,9.91,True
9350.0,1.96,75.09,550.01,70.02,380.08,10.06,True
9349.0,2.0,75.01,550.01,70.0,379.93,9.93,True
9900.0,2.02,75.08,549.91,70.07,380.02,9.94,True
9265.0,1.96,75.0,550.05,69.92,379.93,10.03,True
9288.0,2.02,74.9,550.05,69.96,380.09,10.08,True
9892.0,2.03,75.04,549.93,70.0,379.94,10.04,True
9656.0,1.96,75.03,550.03,69.98,380.03,9.92,True
9118.0,2.09,75.04,550.03,69.98,379.96,9.91,True
9344.0,1.93,75.0,549.91,69.94,380.08,10.08,True
10252.0,2.0,74.99,550.06,70.09,380.06,9.95,True
10781.0,2.06,74.98,549.98,70.05,379.99,10.04,True
10552.0,1.96,75.05,550.09,70.04,380.04,9.93,True
9919.0,2.01,74.92,550.06,69.95,379.98,10.09,True
9344.0,1.92,74.99,550.06,69.96,380.05,10.03,True
9480.0,1.93,74.99,549.93,70.0,379.94,10.07,True
19791.0,2.77,75.00999999999999,550.0699999999999,70.00999999999999,380.0,10.120000000000001,False
10010.0,1.95,75.02,549.96,69.92,380.09,9.92,True
10141.0,2.03,75.08,549.9,70.08,379.92,9.92,True
9756.0,1.91,75.03,550.01,69.95,380.03,10.07,True
10814.0,1.91,74.95,550.0,69.93,380.03,10.08,True
9593.0,1.91,74.97,550.07,70.03,380.04,10.08,True
10728.0,1.93,74.94,550.04,69.98,379.96,10.01,True
9329.0,2.05,75.0,549.97,70.08,379.96,9.91,True
10366.0,1.96,74.94,550.01,70.09,380.05,10.08,True
9178.0,1.94,74.96,550.0,70.02,380.03,9.95,True
10501.0,1.96,74.91,549.99,70.05,380.07,9.93,True
10628.0,2.03,74.98,549.96,69.94,380.09,9.91,True
9964.0,1.97,74.98,549.97,70.01,379.91,9.99,True
9796.0,2.03,74.99,550.06,69.96,380.09,10.09,True
10402.0,1.93,74.99,550.02,69.92,379.99,9.91,True
22.0,1.44,74.82000000000001,549.9300000000001,69.88000000000001,379.83,9.88,False
10119.0,1.9,74.92,550.02,70.04,379.95,10.0,True
9542.0,1.9,75.08,549.98,70.02,380.09,10.02,True
10560.0,2.01,75.08,550.05,70.08,380.06,10.0,True
10520.0,2.05,75.07,550.01,69.92,380.08,10.08,True
9654.0,1.9,74.93,549.95,69.91,379.94,10.04,True
9452.0,1.97,74.96,549.93,69.94,379.99,10.0,True
10527.0,2.03,75.01,550.07,70.0,379.9,9.98,True
10358.0,1.98,74.95,550.04,69.99,379.9,9.98,True
9761.0,2.03,75.0,550.02,69.9,380.08,9.9,True
9148.0,2.09,74.94,549.97,70.03,380.01,10.04,True
9689.0,2.0,75.02,549.96,69.93,379.99,10.05,True
9165.0,1.97,74.97,550.05,70.09,379.9,9.97,True
9349.0,1.92,74.95,550.07,69.96,380.04,10.04,True
10033.0,1.9,74.95,549.98,69.91,380.03,10.01,True
10767.0,1.98,74.93,549.92,69.91,379.91,9.94,True
9115.0,2.02,75.01,549.95,69.91,379.96,10.06,True
9840.0,2.03,74.93,550.07,69.9,380.0,9.91,True
9766.0,1.97,75.07,550.04,70.09,379.97,9.97,True
10880.0,2.01,75.05,550.09,69.96,379.97,10.03,True
10135.0,2.05,75.02,549.96,69.99,379.92,10.03,True
12522.0,2.8899999999999997,75.05,550.0,70.05,380.10999999999996,10.02,False
10822.0,2.08,74.93,550.07,69.91,379.92,10.09,True
10950.0,2.07,75.01,549.93,70.08,379.93,9.98,True
10934.0,2.01,74.95,549.98,69.9,379.99,10.0,True
9732.0,2.03,74.91,550.02,69.99,380.09,9.94,True
9017.0,1.99,75.09,549.99,70.04,380.05,10.08,True
10653.0,2.01,75.07,550.08,69.95,380.04,9.99,True
9584.0,1.94,74.91,550.01,69.9,380.04,10.06,True
9374.0,1.99,74.9,550.09,70.07,380.0,10.04,True
10741.0,1.97,75.05,549.96,70.09,380.01,10.04,True
10087.0,1.93,75.08,550.01,70.06,379.93,10.07,True
9216.0,2.09,74.97,550.03,69.95,380.04,10.09,True
10143.0,1.94,74.91,550.02,70.07,379.97,10.06,True
10748.0,2.07,75.03,550.05,70.02,380.04,9.96,True
9146.0,1.97,75.09,549.99,69.97,380.07,9.98,True
10534.0,1.92,74.98,549.9,70.04,380.04,10.02,True
10735.0,1.94,74.93,549.94,69.96,380.05,10.0,True
10602.0,2.01,74.95,549.97,70.0,380.02,10.03,True
9661.0,2.0,75.0,549.91,70.05,380.06,10.03,True
10614.0,2.09,75.09,550.06,69.98,379.92,9.98,True
10994.0,1.95,74.9,550.02,70.06,380.06,10.05,True
10580.0,2.03,75.09,550.03,69.99,379.94,10.01,True
9690.0,2.05,74.91,549.99,69.97,380.09,10.04,True
9406.0,1.99,75.07,549.98,70.01,379.9,9.99,True
10119.0,1.9,75.07,550.02,70.07,379.97,9.91,True
10961.0,1.94,74.95,549.94,70.04,380.0,9.96,True
10821.0,1.92,74.97,549.97,69.95,379.96,9.92,True
10402.0,2.03,75.05,550.01,69.91,380.05,10.05,True
9447.0,2.03,74.9,549.97,69.94,379.93,9.93,True
10450.0,2.0,74.93,549.98,69.92,379.99,9.92,True
9103.0,1.92,74.96,549.97,70.05,380.06,9.9,True
10904.0,2.0,74.94,549.98,70.03,379.96,10.09,True
10283.0,2.09,74.94,550.02,69.91,380.03,9.94,True
9678.0,2.0,75.08,549.95,70.0,379.99,9.92,True
9100.0,1.92,75.06,549.96,69.93,380.0,9.97,True
10328.0,2.02,75.0,549.95,70.0,380.05,10.06,True
9388.0,1.93,75.08,550.01,70.06,380.02,10.02,True
10684.0,1.98,74.9,550.06,69.92,380.0,10.08,True
10074.0,1.95,74.93,550.07,70.05,380.05,10.03,True
10346.0,1.92,74.95,549.93,69.94,379.92,10.03,True
10162.0,2.08,74.96,549.93,70.0,380.05,9.95,True
10101.0,1.97,74.97,549.91,69.99,380.02,10.08,True
10658.0,1.9,74.96,550.08,69.98,379.99,10.09,True
9160.0,2.07,75.07,550.05,69.91,380.0,10.07,True
9440.0,2.06,74.93,549.91,69.9,380.0,10.05,True
9573.0,2.02,75.01,550.03,69.99,380.04,10.09,True
10410.0,2.04,75.08,550.09,69.96,380.05,10.05,True
10399.0,1.94,74.94,550.06,70.06,380.07,10.04,True
9880.0,1.91,74.93,549.98,69.91,379.91,9.97,True
9922.0,1.99,74.92,549.97,69.9,380.08,9.92,True
9088.0,2.03,74.91,549.98,70.03,379.93,10.0,True
10000.0,2.03,75.09,549.95,70.09,380.0,10.01,True
9399.0,1.99,74.91,549.98,70.05,380.06,10.07,True
9820.0,1.97,75.06,549.96,69.94,379.94,9.91,True
9705.0,2.01,74.95,550.03,69.98,380.0,9.98,True
9598.0,2.08,75.07,550.04,70.01,379.95,9.92,True
10898.0,2.03,74.9,549.95,69.93,380.0,10.07,True
10561.0,1.93,74.9,550.07,70.05,379.92,9.99,True
9313.0,2.07,74.94,549.9,70.07,380.06,9.94,True
10247.0,1.95,75.03,550.06,70.02,379.92,9.91,True
10806.0,2.06,75.0,549.99,69.91,380.01,10.08,True
